City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,17.51,75,23,7.36,AU,1733026505
1,iqaluit,63.7506,-68.5145,-8.15,61,75,4.12,CA,1733026506
2,grytviken,-54.2811,-36.5092,1.29,75,56,3.54,GS,1733026507
3,jamestown,42.097,-79.2353,-5.55,68,20,5.66,US,1733026508
4,stanley,54.868,-1.6985,11.01,90,20,6.69,GB,1733026509
5,gaalkacyo,6.7697,47.4308,22.75,65,79,4.61,SO,1733026511
6,port-aux-francais,-49.35,70.2167,4.5,93,100,9.47,TF,1733026512
7,suva,-18.1416,178.4415,26.71,83,75,4.12,FJ,1733026464
8,lompoc,34.6391,-120.4579,13.41,58,75,2.06,US,1733026514
9,hermanus,-34.4187,19.2345,13.22,80,41,2.66,ZA,1733026516
10,cabo san lucas,22.8909,-109.9124,23.2,70,9,3.58,MX,1733025960
11,edinburgh of the seven seas,-37.0676,-12.3116,16.56,98,100,8.7,SH,1733026518
12,yellowknife,62.456,-114.3525,-17.47,85,100,2.57,CA,1733026414
13,choyr,46.3611,108.3611,-10.13,19,0,9.17,MN,1733026520
14,bilibino,68.0546,166.4372,-17.09,98,98,1.71,RU,1733026521
15,longyearbyen,78.2186,15.6401,-8.09,49,20,6.17,SJ,1733026522
16,carnarvon,-24.8667,113.6333,24.38,63,0,6.73,AU,1733026523
17,yeppoon,-23.1333,150.7333,27.7,69,88,5.2,AU,1733026524
18,kailua-kona,19.6406,-155.9956,24.6,88,30,1.7,US,1733026245
19,albany,42.6001,-73.9662,-2.43,66,34,4.92,US,1733026388
20,fale old settlement,-9.3852,-171.2468,29.03,65,100,4.83,TK,1733026528
21,bethel,41.3712,-73.414,-1.55,66,0,2.57,US,1733026529
22,blackmans bay,-43.0167,147.3167,25.96,51,50,1.34,AU,1733026530
23,westport,41.1415,-73.3579,-0.38,63,0,4.12,US,1733026531
24,smithers,54.7804,-127.1743,-4.82,80,100,1.03,CA,1733026503
25,talnakh,69.4865,88.3972,-9.82,65,100,10.87,RU,1733026533
26,huarmey,-10.0681,-78.1522,20.29,88,95,3.95,PE,1733026534
27,calvinia,-31.4707,19.776,14.99,57,0,1.49,ZA,1733026535
28,abou el hassan,36.4166,1.1962,12.75,79,20,0.5,DZ,1733026536
29,battagram,34.6772,73.0233,14.93,40,2,0.72,PK,1733026537
30,karungdong,5.8844,121.263,27.72,80,100,2.26,PH,1733026538
31,muang phonsavan,19.45,103.2167,24.48,46,98,1.48,LA,1733026540
32,kuala belait,4.5833,114.1833,30.2,65,89,0.81,BN,1733026541
33,ushuaia,-54.8,-68.3,3.81,87,75,9.77,AR,1733026542
34,san antonio de pale,-1.4014,5.6325,26.64,80,100,3.42,GQ,1733026544
35,codrington,-38.2667,141.9667,16.15,93,100,5.66,AU,1733026545
36,tazovsky,67.4667,78.7,-8.05,93,100,8.55,RU,1733026547
37,avarua,-21.2078,-159.775,25.03,73,20,3.6,CK,1733026548
38,crane,31.3974,-102.3501,11.73,36,99,2.63,US,1733026549
39,port saint john's,-31.6229,29.5448,20.78,80,73,0.6,ZA,1733026550
40,yichang,30.7144,111.2847,19.09,34,3,1.27,CN,1733026551
